Position,2026,2027,2028
SaaS-Abos,312936,1400000,4200000
Pro (€29/m),146160,580000,1740000
Research (€99/m),100980,450000,1350000
Enterprise (€499/m),35928,220000,660000
API/Developer (€299/m),10764,80000,240000
Educational (€19/m),19104,70000,210000
Setup-Fees,111564,300000,600000
API-Nutzung,0,120000,360000
Sonstige,0,42000,70000
Gesamtumsatz,424500,1862000,5230000
